Date,Close,Volume,Open,High,Low
11/02/2021,1172,42737800,1159.355,1208.59,1146
11/01/2021,1208.59,56048720,1145,1209.75,1118.66
10/29/2021,1114,29918420,1081.86,1115.21,1073.205
10/28/2021,1077.04,27213170,1068.305,1081,1054.2
10/27/2021,1037.86,38526460,1039.66,1070.88,1030.78
10/26/2021,1018.43,62414970,1024.69,1094.94,1001.44
10/25/2021,1024.86,62852100,950.53,1045.02,944.2
10/22/2021,909.68,22880840,895.5,910,890.96
10/21/2021,894,31481450,856,900,855.5046
10/20/2021,865.8,14032050,865.35,869.49,857.38
10/19/2021,864.27,17381130,877.53,877.95,862.51
10/18/2021,870.11,24207240,851.79,875.26,851.47
10/15/2021,843.03,18924570,823.738,843.21,822.35
10/14/2021,818.32,12247170,815.49,820.25,813.3501
10/13/2021,811.08,14120080,810.47,815.41,805.78
10/12/2021,805.72,22020040,800.93,812.32,796.57
10/11/2021,791.94,14200320,787.65,801.24,785.5
10/08/2021,785.49,16738600,796.21,796.38,780.91
10/07/2021,793.61,19195780,785.46,805,783.38
10/06/2021,782.75,14632770,776.2,786.66,773.22
10/05/2021,780.59,18432630,784.796,797.31,774.2
10/04/2021,781.53,30483340,796.5,806.9699,776.12
10/01/2021,775.22,17031410,778.4,780.78,763.59
09/30/2021,775.48,17955960,781,789.1305,775
09/29/2021,781.31,20942880,779.8,793.5,770.68
09/28/2021,777.56,25381420,787.2,795.64,766.1801
09/27/2021,791.36,28070660,773.12,799,769.31
09/24/2021,774.39,21373020,745.89,774.8,744.56
09/23/2021,753.64,11947530,755,758.2,747.92
09/22/2021,751.94,15126270,743.5263,753.6699,739.12
09/21/2021,739.38,16330720,734.79,744.7399,730.44
09/20/2021,730.17,24757650,734.5577,742,718.6249
09/17/2021,759.49,28204180,757.15,761.04,750
09/16/2021,756.99,13923390,752.83,758.91,747.61
09/15/2021,755.83,15357690,745,756.86,738.36
09/14/2021,744.49,18524880,742.57,754.47,736.4
09/13/2021,743,22952480,740.214,744.78,708.85
9/10/2021,736.27,15184170,759.6,762.61,734.5201
9/09/2021,754.86,14077730,753.41,762.1,751.6301
9/08/2021,753.87,18793040,761.58,764.45,740.7733
9/07/2021,752.92,20039830,740,760.2,739.26
9/03/2021,733.57,15271050,732.249,734,724.2
9/02/2021,732.39,12796740,734.5,740.97,730.54
9/01/2021,734.09,13204340,734.08,741.99,731.2701
08/31/2021,735.72,20855440,733,740.39,726.44
08/30/2021,730.91,18604220,714.715,731,712.73
08/27/2021,711.92,13833760,705,715,702.1001
08/26/2021,701.16,13214290,708.31,715.4,697.6201
08/25/2021,711.2,12645560,707.03,716.97,704
08/24/2021,708.49,13083070,710.68,715.22,702.64
08/23/2021,706.3,20264860,685.442,712.1299,680.7505
08/20/2021,680.26,14841870,682.85,692.1299,673.7
08/19/2021,673.47,14313490,678.21,686.55,667.59
08/18/2021,688.99,20349380,669.748,695.77,669.35
08/17/2021,665.71,23721280,672.66,674.58,648.84
08/16/2021,686.17,23103300,705.07,709.5,676.4
08/13/2021,717.17,16731470,723.71,729.9,714.34
8/12/2021,722.25,17681690,706.34,722.8,699.4
8/11/2021,707.82,9800558,712.71,715.18,704.21
8/10/2021,709.99,13432310,713.99,716.59,701.88
8/09/2021,713.76,14715350,710.17,719.03,705.13
8/06/2021,699.1,15623050,711.9,716.33,697.63
8/05/2021,714.63,12919640,716,720.9499,711.41
8/04/2021,710.92,17002650,711,724.9,708.93
8/03/2021,709.74,21620250,719,722.65,701.01
8/02/2021,709.67,33615770,700,726.94,698.4
07/30/2021,687.2,29656410,671.758,697.53,669
07/29/2021,677.35,30394640,649.79,683.69,648.8
07/28/2021,646.98,16006600,646.995,654.9699,639.4001
07/27/2021,644.78,32813290,663.4,666.5,627.24
07/26/2021,657.62,25336560,650.97,668.1999,647.11
07/23/2021,643.38,14604940,646.36,648.8,637.3001
07/22/2021,649.26,15105730,656.4428,662.17,644.6001
07/21/2021,655.29,13953340,659.61,664.8599,650.2901
07/20/2021,660.5,15487130,651.99,662.3916,640.501
07/19/2021,646.22,21297090,629.89,647.1999,621.29
07/16/2021,644.22,16370970,654.68,656.6999,642.2
07/15/2021,650.6,20209570,658.39,666.14,637.88
07/14/2021,653.38,21641190,670.75,678.6099,652.84
07/13/2021,668.54,20966090,686.32,693.28,666.2958
7/12/2021,685.7,25927040,662.2,687.24,662.161
7/09/2021,656.95,18140550,653.185,658.91,644.69
7/08/2021,652.81,22773320,628.37,654.43,620.46
7/07/2021,644.65,18791960,664.27,665.7,638.32
7/06/2021,659.58,23284450,681.7115,684,651.4002
7/02/2021,678.9,27097370,678.98,700,673.26
7/01/2021,677.92,18634520,683.92,687.99,672.8
06/30/2021,679.7,18924860,679.77,692.81,678.14
06/29/2021,680.76,17381310,684.65,687.5099,675.89
06/28/2021,688.72,21628160,671.64,694.6999,670.32
06/25/2021,671.87,32496710,689.58,693.81,668.7
06/24/2021,679.82,45982390,674.99,697.62,667.61
06/23/2021,656.57,31099230,632,657.204,630.04
06/22/2021,623.71,19158890,618.25,628.5693,615.5
06/21/2021,620.83,24812740,624.48,631.39,608.88
06/18/2021,623.31,24560910,613.37,628.35,611.8
06/17/2021,616.6,22701350,601.888,621.47,601.34
06/16/2021,604.87,22144130,597.535,608.5,593.5
06/15/2021,599.36,17764150,616.69,616.79,598.23
06/14/2021,617.69,20423980,612.23,625.49,609.18
6/11/2021,609.89,16205300,610.23,612.56,601.52
6/10/2021,610.12,23919610,603.88,616.59,600.5
6/09/2021,598.78,16584570,602.17,611.79,597.6301
6/08/2021,603.59,26053410,623.01,623.09,595.5
6/07/2021,605.13,22543680,591.825,610,582.88
